% ESTADÍSTICAS JUGADORES NBA
%
% Autor: Unai Salaberria
%
% Descripción: Este dataset contiene las estadísticas de todos los jugadores de la NBA en la temporada 22-23
% hasta el 26 de diciembre de 2022.
% 
% La variable clase es numérica, por lo que se trata de un problema de regresión.
%
% Número de casos: 499
%
% Número de variables: 29
%
% Clase: Salario del jugador
%
@relation my_nba

@attribute Player {'A.J. Green','A.J. Lawson','AJ Griffin','Aaron Gordon','Aaron Holiday','Aaron Nesmith','Aaron Wiggins','Admiral Schofield','Al Horford','Alec Burks','Aleksej Pokusevski','Alex Caruso','Alex Len','Alize Johnson','Alondes Williams','Alperen Şengün','Amir Coffey','Andre Drummond','Andrew Nembhard','Andrew Wiggins','Anfernee Simons','Anthony Davis','Anthony Edwards','Anthony Gill','Anthony Lamb','Austin Reaves','Austin Rivers','Ayo Dosunmu','Bam Adebayo','Ben Simmons','Bennedict Mathurin','Bismack Biyombo','Blake Griffin','Blake Wesley','Boban Marjanović','Bobby Portis','Bogdan Bogdanović','Bojan Bogdanović','Bol Bol','Bones Hyland','Bradley Beal','Brandon Boston Jr.','Brandon Clarke','Brandon Ingram','Braxton Key','Brook Lopez','Bruce Brown','Bruno Fernando','Bryce McGowens','Bryn Forbes','Buddy Boeheim','Buddy Hield','CJ McCollum','Cade Cunningham','Caleb Houstan','Caleb Martin','Cam Reddish','Cam Thomas','Cameron Johnson','Cameron Payne','Caris LeVert','Cedi Osman','Charles Bassey','Chima Moneke','Chimezie Metu','Chris Boucher','Chris Duarte','Chris Paul','Christian Braun','Christian Koloko','Christian Wood','Chuma Okeke','Clint Capela','Coby White','Cody Martin','Cole Anthony','Cole Swider','Collin Sexton','Corey Kispert','Cory Joseph','DAngelo Russell','Daishen Nix','Dalano Banton','Dalen Terry','Damian Jones','Damian Lillard','Damion Lee','Daniel Gafford','Danuel House Jr.','Dario Šarić','Darius Bazley','Darius Garland','David Duke Jr.','David Roddy','Davion Mitchell','Davon Reed','DayRon Sharpe','DeAaron Fox','DeAndre Hunter','DeAnthony Melton','DeAndre Jordan','DeMar DeRozan','Dean Wade','Deandre Ayton','Dejounte Murray','Delon Wright','Deni Avdija','Dennis Schröder','Dennis Smith Jr.','Dereon Seabron','Derrick Jones Jr.','Derrick Rose','Derrick White','Desmond Bane','Devin Booker','Devin Vassell','Devon Dotson','Devonte Graham','Dewayne Dedmon','Dillon Brooks','Domantas Sabonis','Dominick Barlow','Donovan Mitchell','Donte DiVincenzo','Dorian Finney-Smith','Doug McDermott','Draymond Green','Drew Eubanks','Dru Smith','Duane Washington Jr.','Duncan Robinson','Dwight Powell','Dyson Daniels','Davis Bertans','Edmond Sumner','Eric Gordon','Eugene Omoruyi','Evan Fournier','Evan Mobley','Facundo Campazzo','Frank Kaminsky','Frank Ntilikina','Franz Wagner','Fred VanVleet','Furkan Korkmaz','Gabe Vincent','Garrett Temple','Garrison Mathews','Gary Harris','Gary Trent Jr.','George Hill','Georges Niang','Giannis Antetokounmpo','Goga Bitadze','Goran Dragić','Gordon Hayward','Gorgui Dieng','Grant Williams','Grayson Allen','Greg Brown III','Hamidou Diallo','Harrison Barnes','Haywood Highsmith','Herbert Jones','Immanuel Quickley','Isaac Okoro','Isaiah Hartenstein','Isaiah Jackson','Isaiah Joe','Isaiah Livers','Isaiah Mobley','Isaiah Roby','Isaiah Stewart','Isaiah Todd','Ish Smith','Ish Wainright','Ivica Zubac','JD Davison','JT Thor','Ja Morant','JaMychal Green','JaVale McGee','Jabari Smith Jr.','Jabari Walker','Jack White','Jaden Hardy','Jaden Ivey','Jaden McDaniels','Jaden Springer','JaeSean Tate','Jake LaRavia','Jakob Poeltl','Jalen Brunson','Jalen Duren','Jalen Green','Jalen Johnson','Jalen McDaniels','Jalen Smith','Jalen Suggs','Jalen Williams','Jamal Cain','Jamal Murray','James Bouknight','James Harden','James Johnson','James Wiseman','Jaren Jackson Jr.','Jarred Vanderbilt','Jarrett Allen','Jarrett Culver','Jason Preston','Javonte Green','Jaxson Hayes','Jaylen Brown','Jaylen Nowell','Jaylin Williams','Jayson Tatum','Jeff Dowtin','Jeff Green','Jerami Grant','Jeremiah Robinson-Earl','Jeremy Sochan','Jericho Sims','Jevon Carter','Jimmy Butler','Jock Landale','Joe Harris','Joe Ingles','Joel Embiid','John Butler','John Collins','John Konchar','John Wall','Johnny Davis','Jonas Valanciunas','Jonathan Kuminga','Jordan Clarkson','Jordan Goodwin','Jordan Hall','Jordan McLaughlin','Jordan Nwora','Jordan Poole','Jordan Schakel','Jose Alvarado','Josh Christopher','Josh Giddey','Josh Green','Josh Hart','Josh Minott','Josh Okogie','Josh Richardson','Joshua Primo','Jrue Holiday','Juan Toscano-Anderson','Juancho Hernangómez','Julian Champagnie','Julius Randle','Justin Champagnie','Justin Holiday','Justin Jackson','Justise Winslow','Jusuf Nurkić','KZ Okpala','Kai Jones','Karl-Anthony Towns','Kawhi Leonard','Keegan Murray','Keita Bates-Diop','Keldon Johnson','Kelly Olynyk','Kelly Oubre Jr.','Kemba Walker','Kendall Brown','Kendrick Nunn','Kennedy Chandler','Kenneth Lofton Jr.','Kenrich Williams','Kentavious Caldwell-Pope','Kenyon Martin Jr.','Keon Ellis','Keon Johnson','Kessler Edwards','Kevin Durant','Kevin Huerter','Kevin Knox','Kevin Love','Kevin Porter Jr.','Kevon Harris','Kevon Looney','Khem Birch','Khris Middleton','Killian Hayes','Kira Lewis Jr.','Klay Thompson','Kristaps Porzingis','Kyle Anderson','Kyle Kuzma','Kyle Lowry','Kyrie Irving','LaMelo Ball','Lamar Stevens','Landry Shamet','Larry Nance Jr.','Lauri Markkanen','LeBron James','Leandro Bolmaro','Lindy Waters III','Lonnie Walker IV','Luguentz Dort','Luka Doncić','Luka Garza','Luke Kennard','Luke Kornet','Malachi Flynn','Malaki Branham','Malcolm Brogdon','Malcolm Hill','Malik Beasley','Malik Monk','Mamadi Diakite','MarJon Beauchamp','Marcus Morris','Marcus Smart','Mark Williams','Markelle Fultz','Markieff Morris','Marko Simonovic','Marvin Bagley III','Mason Plumlee','Matisse Thybulle','Matt Ryan','Matthew Dellavedova','Max Christie','Max Strus','Maxi Kleber','McKinley Wright IV','Mfiondu Kabengele','Micah Potter','Michael Foster Jr.','Michael Porter Jr.','Mikal Bridges','Mike Conley','Mike Muscala','Miles McBride','Mitchell Robinson','Mo Bamba','Monte Morris','Montrezl Harrell','Moritz Wagner','Moses Brown','Moses Moody','Moussa Diabaté','Myles Turner','Naji Marshall','Nassir Little','Nathan Knight','Naz Reid','Neemias Queta','Nerlens Noel','Nic Claxton','Nick Richards','Nickeil Alexander-Walker','Nicolas Batum','Nikola Jokić','Nikola Jović','Nikola Vucević','Noah Vonleh','Norman Powell','OG Anunoby','Obi Toppin','Ochai Agbaji','Onyeka Okongwu','Orlando Robinson','Oshae Brissett','Otto Porter Jr.','Ousmane Dieng','P.J. Tucker','P.J. Washington','Paolo Banchero','Pascal Siakam','Pat Connaughton','Patrick Baldwin Jr.','Patrick Beverley','Patrick Williams','Patty Mills','Paul George','Paul Reed','Payton Pritchard','Peyton Watson','Precious Achiuwa','Quentin Grimes','R.J. Hampton','RJ Barrett','Raul Neto','Reggie Bullock','Reggie Jackson','Richaun Holmes','Robert Covington','Robert Williams','Robin Lopez','Rodney McGruder','Romeo Langford','Ron Harper Jr.','Royce ONeale','Rudy Gay','Rudy Gobert','Rui Hachimura','Russell Westbrook','Ryan Arcidiacono','Ryan Rollins','Saben Lee','Saddiq Bey','Sam Hauser','Sandro Mamukelashvili','Santi Aldama','Scottie Barnes','Scotty Pippen Jr.','Serge Ibaka','Seth Curry','Shaedon Sharpe','Shai Gilgeous-Alexander','Shake Milton','Simone Fontecchio','Spencer Dinwiddie','Stanley Johnson','Stephen Curry','Steven Adams','Svi Mykhailiuk','T.J. McConnell','T.J. Warren','Taj Gibson','Talen Horton-Tucker','Tari Eason','Taurean Prince','Terance Mann','Terence Davis','Terrence Ross','Terry Rozier','Terry Taylor','Thaddeus Young','Thanasis Antetokounmpo','Theo Pinson','Thomas Bryant','Théo Maledon','Tim Hardaway Jr.','Tobias Harris','Tony Bradley','Torrey Craig','Trae Young','Tre Jones','Tre Mann','Trendon Watford','Trent Forrest','Trevelin Queen','Trevor Hudgins','Trevor Keels','Trey Lyles','Trey Murphy III','Troy Brown Jr.','Ty Jerome','TyTy Washington Jr.','Tyler Dorsey','Tyler Herro','Tyrese Haliburton','Tyrese Martin','Tyrese Maxey','Tyus Jones','Udoka Azubuike','Udonis Haslem','Usman Garuba','Vernon Carey Jr.','Victor Oladipo','Vince Williams Jr.','Vit Krejci','Vlatko Cancar','Walker Kessler','Wendell Carter Jr.','Wendell Moore Jr.','Wenyen Gabriel','Wesley Matthews','Will Barton','Willy Hernangómez','Xavier Tillman Sr.','Yuta Watanabe','Zach Collins','Zach LaVine','Zeke Nnaji','Ziaire Williams','Zion Williamson'}
@attribute Pos {SG,SF,PF,PG,C}
@attribute Age numeric
@attribute Tm {MIL,MIN,ATL,DEN,IND,OKC,ORL,BOS,DET,CHI,SAC,SAS,BRK,HOU,LAC,GSW,POR,LAL,WAS,MIA,PHO,MEM,NOP,CHO,NYK,CLE,TOR,DAL,UTA,PHI,TOT}
@attribute G numeric
@attribute GS numeric
@attribute MP numeric
@attribute FG numeric
@attribute FGA numeric
@attribute 'FG\%' numeric
@attribute 3P numeric
@attribute 3PA numeric
@attribute '3P\%' numeric
@attribute 2P numeric
@attribute 2PA numeric
@attribute '2P\%' numeric
@attribute 'eFG\%' numeric
@attribute FT numeric
@attribute FTA numeric
@attribute 'FT\%' numeric
@attribute ORB numeric
@attribute DRB numeric
@attribute TRB numeric
@attribute AST numeric
@attribute STL numeric
@attribute BLK numeric
@attribute TOV numeric
@attribute PF numeric
@attribute PTS numeric
@attribute Salary numeric

@data
'A.J. Green',SG,23,MIL,12,0,5.8,1.1,2,0.542,0.8,1.6,0.474,0.3,0.4,0.8,0.729,0.3,0.3,1,0.2,0.5,0.7,0.3,0.1,0,0.2,0.9,3.2,?
'A.J. Lawson',SG,22,MIN,1,0,2,1,1,1,0,0,?,1,1,1,1,0,0,?,0,1,1,0,0,0,0,1,2,?
'AJ Griffin',SF,19,ATL,30,8,21.7,4.2,9,0.472,1.7,4.6,0.374,2.5,4.3,0.577,0.569,0.5,0.5,0.875,0.7,1.6,2.3,1,1,0.1,0.8,1.2,10.7,3536160
'Aaron Gordon',PF,27,DEN,29,29,30,6.8,11.1,0.611,1,2.7,0.39,5.7,8.4,0.68,0.657,2.9,4.6,0.644,2.4,4.3,6.7,2.1,0.9,0.8,1.6,1.8,17.5,19690909
'Aaron Holiday',PG,26,ATL,30,2,16.6,1.8,4.2,0.432,0.6,1.5,0.432,1.2,2.7,0.432,0.508,0.6,0.8,0.826,0.5,0.9,1.4,1.6,0.7,0.2,0.7,1.7,4.9,1836090
'Aaron Nesmith',SF,23,IND,30,18,22.3,3.1,7.5,0.418,1.5,4.1,0.355,1.7,3.4,0.495,0.516,1.1,1.3,0.868,0.8,2.9,3.7,1.2,0.7,0.5,1,3.1,8.8,3804360
'Aaron Wiggins',SG,24,OKC,26,6,18.9,2.4,5.1,0.474,0.7,1.8,0.375,1.7,3.3,0.529,0.541,1,1.3,0.794,1.1,2.7,3.7,1.5,0.6,0.2,0.9,1.6,6.6,1563518
'Admiral Schofield',PF,25,ORL,22,0,12.6,1.7,3.6,0.481,0.8,2.2,0.367,0.9,1.4,0.667,0.595,0.5,0.5,1,0.8,1.2,2,0.7,0.2,0.1,0.2,2,4.8,?
'Al Horford',C,36,BOS,26,26,30.8,3.7,7.5,0.5,2.2,4.8,0.444,1.6,2.6,0.603,0.644,0.2,0.3,0.625,1,5.3,6.3,2.6,0.5,1.1,0.7,1.9,9.8,26500000
'Alec Burks',SG,31,DET,23,0,20.9,4,9,0.438,1.8,4.5,0.404,2.1,4.5,0.471,0.538,3.3,4.3,0.776,0.3,2.6,2.9,1.9,0.8,0.1,1.2,2.3,13,10012800
'Aleksej Pokusevski',PF,21,OKC,31,25,21.8,3.5,7.8,0.44,1.2,3.3,0.376,2.2,4.6,0.486,0.519,0.7,1.1,0.636,1.5,3.6,5.1,2,0.6,1.3,1.3,1.8,8.8,3261480
'Alex Caruso',PG,28,CHI,30,14,25,1.8,4,0.438,0.8,2.2,0.373,0.9,1.8,0.519,0.541,1,1.3,0.763,0.4,2.4,2.8,3.6,1.6,0.7,1.4,2.3,5.3,9030000
'Alex Len',C,29,SAC,9,1,4.3,0.6,1.1,0.5,0,0.1,0,0.6,1,0.556,0.5,0.3,0.4,0.75,0.3,1.1,1.4,0.2,0,0,0.2,0.8,1.4,3918600
'Alize Johnson',PF,26,SAS,4,0,7.5,0.8,1.5,0.5,0,0.5,0,0.8,1,0.75,0.5,0.3,0.5,0.5,0.5,2,2.5,0.3,0.3,0,1,0.8,1.8,1392896
'Alondes Williams',SG,23,BRK,1,0,5,0,0,?,0,0,?,0,0,?,?,0,0,?,0,1,1,0,0,0,2,1,0,?
'Alperen Şengün',C,20,HOU,31,28,26.7,5.6,10.2,0.554,0.2,0.8,0.208,5.5,9.4,0.582,0.562,3,3.7,0.793,3.3,5.5,8.8,2.5,0.7,0.9,2.1,3.2,14.4,3375360
'Amir Coffey',SG,25,LAC,29,7,13.9,1.2,3,0.391,0.3,0.9,0.346,0.9,2.1,0.41,0.443,1.1,1.4,0.805,0.4,0.8,1.1,1.2,0.2,0.1,0.4,1.1,3.8,3395062
'Andre Drummond',C,29,CHI,26,0,14.1,2.6,4.7,0.557,0,0.1,0,2.6,4.6,0.567,0.557,0.9,1.6,0.571,2.3,4.8,7.2,0.8,0.6,0.3,1.1,2,6.2,3200000
'Andrew Nembhard',SG,23,IND,30,21,26.1,3.3,7.1,0.46,1.3,3.5,0.377,1.9,3.6,0.542,0.554,0.5,0.5,0.875,0.4,2.7,3.1,3.8,1,0.2,1.5,2.9,8.3,2244111
'Andrew Wiggins',SF,27,GSW,22,22,32.8,7.4,14.5,0.511,3,6.8,0.45,4.4,7.7,0.565,0.616,1.2,2,0.628,1.5,3.6,5.1,2.2,1.4,0.8,1.4,2.9,19.1,33616770
'Anfernee Simons',SG,23,POR,32,32,35.9,7.9,18.1,0.439,3.9,10.1,0.383,4.1,8,0.51,0.546,2.7,3,0.895,0.3,2.6,2.8,4.1,0.8,0.2,2.2,2.5,22.4,22321429
'Anthony Davis',C,29,LAL,25,25,33.4,10.2,17.2,0.594,0.4,1.2,0.29,9.8,15.9,0.618,0.605,6.6,8,0.826,3.1,9,12.1,2.6,1.3,2.1,1.9,2.7,27.4,37980720
'Anthony Edwards',SG,21,MIN,34,34,36.7,8.5,18.3,0.464,2.6,7,0.368,5.9,11.2,0.524,0.535,3.9,5.1,0.754,0.7,5.3,6,4.5,1.8,0.5,3.3,2.8,23.4,10733400
'Anthony Gill',PF,30,WAS,27,4,10.9,1.1,2,0.574,0.1,0.5,0.143,1.1,1.5,0.725,0.593,0.5,0.6,0.824,0.6,1,1.5,0.5,0.2,0.2,0.2,1.3,2.9,1836090
'Anthony Lamb',SF,25,GSW,27,2,18.3,2.2,4.4,0.5,1.2,3,0.39,1,1.3,0.75,0.636,0.2,0.4,0.545,0.7,2.3,3,1.5,0.6,0.3,1.1,2.1,5.8,?
'Austin Reaves',SG,24,LAL,32,10,29.3,3.6,6.8,0.528,1.3,3.3,0.396,2.3,3.5,0.652,0.624,2.7,2.9,0.904,0.7,2.3,3,2.1,0.6,0.4,1.3,1.6,11.2,1563518
'Austin Rivers',SG,30,MIN,24,8,19.2,1.9,4,0.474,0.9,2.3,0.407,1,1.8,0.558,0.588,0.9,1,0.917,0.1,1.7,1.8,1.2,0.5,0,0.6,1.5,5.7,1836090
'Ayo Dosunmu',PG,23,CHI,31,23,26.4,3.8,7.6,0.506,1,2.8,0.341,2.9,4.7,0.605,0.57,0.8,1,0.806,0.6,2.5,3.1,2.7,0.7,0.4,1.4,2.5,9.5,1563518
'Bam Adebayo',C,25,MIA,30,30,35.1,8.3,15.5,0.532,0,0.3,0.1,8.2,15.2,0.542,0.533,4.2,5,0.841,2.5,7.3,9.8,3.4,0.9,0.6,3.1,3.1,20.8,30351780
'Ben Simmons',PG,26,BRK,24,19,27.5,3.8,6.1,0.612,0,0,0,3.8,6.1,0.616,0.612,0.8,1.6,0.462,1.1,5.7,6.8,6.2,1.4,0.5,2.2,3.6,8.3,35448672
'Bennedict Mathurin',SG,20,IND,35,2,28.3,5.4,13.1,0.415,1.7,5.1,0.343,3.7,8,0.461,0.481,4.5,5.5,0.82,1.1,2.8,3.9,1.5,0.6,0.1,1.8,2,17.1,6586800
'Bismack Biyombo',C,30,PHO,29,4,13.9,1.7,2.8,0.585,0,0,?,1.7,2.8,0.585,0.585,0.4,1.2,0.361,1.1,2.7,3.8,0.9,0.3,1.4,1,2.1,3.8,1836090
'Blake Griffin',PF,33,BOS,15,8,15.3,1.9,3.9,0.5,0.5,1.6,0.333,1.4,2.3,0.618,0.569,1,1.4,0.714,1,2.9,3.9,1.2,0.3,0.1,0.4,2.1,5.4,1836090
'Blake Wesley',SG,19,SAS,2,0,11.5,3,4.5,0.667,1,1.5,0.667,2,3,0.667,0.778,1,2,0.5,0.5,0.5,1,2,0,0,1,1.5,8,2385480
'Boban Marjanović',C,34,HOU,10,0,3.8,0.7,1.1,0.636,0,0.1,0,0.7,1,0.7,0.636,0.7,0.9,0.778,0.1,0.9,1,0.1,0.1,0.1,0.2,0.1,2.1,3500000
'Bobby Portis',PF,27,MIL,33,8,26,5.7,11.5,0.5,1,3.5,0.298,4.7,8,0.587,0.545,0.9,1.2,0.775,2.4,7.6,10,1.8,0.3,0.3,1.2,1.8,13.4,10843350
'Bogdan Bogdanović',SG,30,ATL,11,3,30,6.4,14.5,0.438,3.6,8.9,0.408,2.7,5.6,0.484,0.563,1.4,1.6,0.833,0.3,3.5,3.8,2.2,0.7,0.3,1.7,1.2,17.7,18000000
'Bojan Bogdanović',PF,33,DET,35,35,31.1,6.8,14.1,0.483,2.4,5.9,0.409,4.4,8.1,0.537,0.569,4.8,5.3,0.904,0.5,3.1,3.6,2.4,0.6,0.1,2.4,1.8,20.9,19550000
'Bol Bol',PF,23,ORL,35,30,26.1,4.9,8.3,0.595,0.7,1.8,0.413,4.2,6.5,0.645,0.639,1.4,1.9,0.746,1.4,5.7,7.1,1,0.5,1.6,1.9,1.3,12.1,2200000
'Bones Hyland',PG,22,DEN,25,0,20.4,4.2,11.1,0.383,2.3,6.1,0.382,1.9,5,0.384,0.487,1.9,2.2,0.839,0.3,1.8,2.1,3.1,0.6,0.4,1.7,1.8,12.7,2201520
'Bradley Beal',SG,29,WAS,23,23,34.5,8.9,16.8,0.527,1.6,4.6,0.343,7.3,12.3,0.596,0.574,4.2,4.9,0.858,0.9,2.7,3.6,5.2,1,0.6,2.8,1.9,23.5,43279250
'Brandon Boston Jr.',SG,21,LAC,13,0,9.5,1.8,4.7,0.377,0.6,1.4,0.444,1.2,3.3,0.349,0.443,1.2,1.5,0.789,0.2,0.8,1,0.7,0.2,0,0.4,0.7,5.3,1563518
'Brandon Clarke',PF,26,MEM,33,3,19.6,4.2,6.4,0.651,0,0.2,0.167,4.2,6.2,0.665,0.653,1.8,2.5,0.744,1.4,4.1,5.5,1.2,0.5,0.8,1.1,2.3,10.2,4343920
'Brandon Ingram',SF,25,NOP,15,15,32.1,7.3,15.4,0.472,1.9,4,0.467,5.4,11.4,0.474,0.532,4.4,5.1,0.868,0.5,4.6,5.1,4.7,0.9,0.7,2.8,2.2,20.8,31650600
