Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary
A.J. Green,SG,23,MIL,12,0,5.8,1.1,2.0,.542,0.8,1.6,.474,0.3,0.4,.800,.729,0.3,0.3,1.000,0.2,0.5,0.7,0.3,0.1,0.0,0.2,0.9,3.2,
A.J. Lawson,SG,22,MIN,1,0,2.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,
AJ Griffin,SF,19,ATL,31,9,21.7,4.2,9.0,.462,1.7,4.6,.366,2.5,4.4,.562,.556,0.5,0.5,.875,0.7,1.7,2.4,1.0,1.1,0.1,0.8,1.3,10.5,3536160
Aaron Gordon,PF,27,DEN,29,29,30.0,6.8,11.1,.611,1.0,2.7,.390,5.7,8.4,.680,.657,2.9,4.6,.644,2.4,4.3,6.7,2.1,0.9,0.8,1.6,1.8,17.5,19690909
Aaron Holiday,PG,26,ATL,31,3,17.1,1.9,4.3,.439,0.7,1.5,.438,1.2,2.7,.440,.519,0.6,0.7,.826,0.5,1.0,1.5,1.6,0.7,0.2,0.7,1.7,5.0,1836090
Aaron Nesmith,SF,23,IND,30,18,22.3,3.1,7.5,.418,1.5,4.1,.355,1.7,3.4,.495,.516,1.1,1.3,.868,0.8,2.9,3.7,1.2,0.7,0.5,1.0,3.1,8.8,3804360
Aaron Wiggins,SG,24,OKC,26,6,18.9,2.4,5.1,.474,0.7,1.8,.375,1.7,3.3,.529,.541,1.0,1.3,.794,1.1,2.7,3.7,1.5,0.6,0.2,0.9,1.6,6.6,1563518
Admiral Schofield,PF,25,ORL,23,0,12.5,1.7,3.5,.481,0.8,2.2,.360,0.9,1.3,.677,.593,0.5,0.6,.923,0.7,1.2,1.9,0.7,0.3,0.1,0.2,2.0,4.7,
Al Horford,C,36,BOS,26,26,30.8,3.7,7.5,.500,2.2,4.8,.444,1.6,2.6,.603,.644,0.2,0.3,.625,1.0,5.3,6.3,2.6,0.5,1.1,0.7,1.9,9.8,26500000
Alec Burks,SG,31,DET,24,0,21.3,4.2,9.1,.461,2.0,4.6,.432,2.2,4.5,.491,.571,3.4,4.3,.788,0.3,2.6,2.8,2.0,0.9,0.1,1.2,2.3,13.8,10012800
Aleksej Pokusevski,PF,21,OKC,31,25,21.8,3.5,7.8,.440,1.2,3.3,.376,2.2,4.6,.486,.519,0.7,1.1,.636,1.5,3.6,5.1,2.0,0.6,1.3,1.3,1.8,8.8,3261480
Alex Caruso,PG,28,CHI,30,14,25.0,1.8,4.0,.438,0.8,2.2,.373,0.9,1.8,.519,.541,1.0,1.3,.763,0.4,2.4,2.8,3.6,1.6,0.7,1.4,2.3,5.3,9030000
Alex Len,C,29,SAC,9,1,4.3,0.6,1.1,.500,0.0,0.1,.000,0.6,1.0,.556,.500,0.3,0.4,.750,0.3,1.1,1.4,0.2,0.0,0.0,0.2,0.8,1.4,3918600
Alize Johnson,PF,26,SAS,4,0,7.5,0.8,1.5,.500,0.0,0.5,.000,0.8,1.0,.750,.500,0.3,0.5,.500,0.5,2.0,2.5,0.3,0.3,0.0,1.0,0.8,1.8,1392896
Alondes Williams,SG,23,BRK,1,0,5.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,
Alperen Şengün,C,20,HOU,31,28,26.7,5.6,10.2,.554,0.2,0.8,.208,5.5,9.4,.582,.562,3.0,3.7,.793,3.3,5.5,8.8,2.5,0.7,0.9,2.1,3.2,14.4,3375360
Amir Coffey,SG,25,LAC,29,7,13.9,1.2,3.0,.391,0.3,0.9,.346,0.9,2.1,.410,.443,1.1,1.4,.805,0.4,0.8,1.1,1.2,0.2,0.1,0.4,1.1,3.8,3395062
Andre Drummond,C,29,CHI,27,0,14.1,2.6,4.6,.560,0.0,0.1,.000,2.6,4.6,.569,.560,1.0,1.7,.587,2.3,5.0,7.3,0.8,0.6,0.4,1.2,2.0,6.2,3200000
Andrew Nembhard,SG,23,IND,30,21,26.1,3.3,7.1,.460,1.3,3.5,.377,1.9,3.6,.542,.554,0.5,0.5,.875,0.4,2.7,3.1,3.8,1.0,0.2,1.5,2.9,8.3,2244111
Andrew Wiggins,SF,27,GSW,22,22,32.8,7.4,14.5,.511,3.0,6.8,.450,4.4,7.7,.565,.616,1.2,2.0,.628,1.5,3.6,5.1,2.2,1.4,0.8,1.4,2.9,19.1,33616770
Anfernee Simons,SG,23,POR,32,32,35.9,7.9,18.1,.439,3.9,10.1,.383,4.1,8.0,.510,.546,2.7,3.0,.895,0.3,2.6,2.8,4.1,0.8,0.2,2.2,2.5,22.4,22321429
