Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary
A.J. Green,SG,23,MIL,12,0,5.8,1.1,2.0,0.542,0.8,1.6,0.474,0.3,0.4,0.8,0.729,0.3,0.3,1.0,0.2,0.5,0.7,0.3,0.1,0.0,0.2,0.9,3.2,
A.J. Lawson,SG,22,MIN,1,0,2.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,
AJ Griffin,SF,19,ATL,31,9,21.7,4.2,9.0,0.462,1.7,4.6,0.366,2.5,4.4,0.562,0.556,0.5,0.5,0.875,0.7,1.7,2.4,1.0,1.1,0.1,0.8,1.3,10.5,Below mean
Aaron Gordon,PF,27,DEN,29,29,30.0,6.8,11.1,0.611,1.0,2.7,0.39,5.7,8.4,0.68,0.657,2.9,4.6,0.644,2.4,4.3,6.7,2.1,0.9,0.8,1.6,1.8,17.5,Above mean
Aaron Holiday,PG,26,ATL,31,3,17.1,1.9,4.3,0.439,0.7,1.5,0.438,1.2,2.7,0.44,0.519,0.6,0.7,0.826,0.5,1.0,1.5,1.6,0.7,0.2,0.7,1.7,5.0,Below mean
Aaron Nesmith,SF,23,IND,30,18,22.3,3.1,7.5,0.418,1.5,4.1,0.355,1.7,3.4,0.495,0.516,1.1,1.3,0.868,0.8,2.9,3.7,1.2,0.7,0.5,1.0,3.1,8.8,Below mean
Aaron Wiggins,SG,24,OKC,26,6,18.9,2.4,5.1,0.474,0.7,1.8,0.375,1.7,3.3,0.529,0.541,1.0,1.3,0.794,1.1,2.7,3.7,1.5,0.6,0.2,0.9,1.6,6.6,Below mean
Admiral Schofield,PF,25,ORL,23,0,12.5,1.7,3.5,0.481,0.8,2.2,0.36,0.9,1.3,0.677,0.593,0.5,0.6,0.923,0.7,1.2,1.9,0.7,0.3,0.1,0.2,2.0,4.7,
Al Horford,C,36,BOS,26,26,30.8,3.7,7.5,0.5,2.2,4.8,0.444,1.6,2.6,0.603,0.644,0.2,0.3,0.625,1.0,5.3,6.3,2.6,0.5,1.1,0.7,1.9,9.8,Above mean
Alec Burks,SG,31,DET,24,0,21.3,4.2,9.1,0.461,2.0,4.6,0.432,2.2,4.5,0.491,0.571,3.4,4.3,0.788,0.3,2.6,2.8,2.0,0.9,0.1,1.2,2.3,13.8,Above mean
Aleksej Pokusevski,PF,21,OKC,31,25,21.8,3.5,7.8,0.44,1.2,3.3,0.376,2.2,4.6,0.486,0.519,0.7,1.1,0.636,1.5,3.6,5.1,2.0,0.6,1.3,1.3,1.8,8.8,Below mean
Alex Caruso,PG,28,CHI,30,14,25.0,1.8,4.0,0.438,0.8,2.2,0.373,0.9,1.8,0.519,0.541,1.0,1.3,0.763,0.4,2.4,2.8,3.6,1.6,0.7,1.4,2.3,5.3,Below mean
Alex Len,C,29,SAC,9,1,4.3,0.6,1.1,0.5,0.0,0.1,0.0,0.6,1.0,0.556,0.5,0.3,0.4,0.75,0.3,1.1,1.4,0.2,0.0,0.0,0.2,0.8,1.4,Below mean
Alize Johnson,PF,26,SAS,4,0,7.5,0.8,1.5,0.5,0.0,0.5,0.0,0.8,1.0,0.75,0.5,0.3,0.5,0.5,0.5,2.0,2.5,0.3,0.3,0.0,1.0,0.8,1.8,Below mean
Alondes Williams,SG,23,BRK,1,0,5.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,
Alperen Şengün,C,20,HOU,31,28,26.7,5.6,10.2,0.554,0.2,0.8,0.208,5.5,9.4,0.582,0.562,3.0,3.7,0.793,3.3,5.5,8.8,2.5,0.7,0.9,2.1,3.2,14.4,Below mean
Amir Coffey,SG,25,LAC,29,7,13.9,1.2,3.0,0.391,0.3,0.9,0.346,0.9,2.1,0.41,0.443,1.1,1.4,0.805,0.4,0.8,1.1,1.2,0.2,0.1,0.4,1.1,3.8,Below mean
Andre Drummond,C,29,CHI,27,0,14.1,2.6,4.6,0.56,0.0,0.1,0.0,2.6,4.6,0.569,0.56,1.0,1.7,0.587,2.3,5.0,7.3,0.8,0.6,0.4,1.2,2.0,6.2,Below mean
Andrew Nembhard,SG,23,IND,30,21,26.1,3.3,7.1,0.46,1.3,3.5,0.377,1.9,3.6,0.542,0.554,0.5,0.5,0.875,0.4,2.7,3.1,3.8,1.0,0.2,1.5,2.9,8.3,Below mean
Andrew Wiggins,SF,27,GSW,22,22,32.8,7.4,14.5,0.511,3.0,6.8,0.45,4.4,7.7,0.565,0.616,1.2,2.0,0.628,1.5,3.6,5.1,2.2,1.4,0.8,1.4,2.9,19.1,Above mean
Anfernee Simons,SG,23,POR,32,32,35.9,7.9,18.1,0.439,3.9,10.1,0.383,4.1,8.0,0.51,0.546,2.7,3.0,0.895,0.3,2.6,2.8,4.1,0.8,0.2,2.2,2.5,22.4,Above mean
Anthony Davis,C,29,LAL,25,25,33.4,10.2,17.2,0.594,0.4,1.2,0.29,9.8,15.9,0.618,0.605,6.6,8.0,0.826,3.1,9.0,12.1,2.6,1.3,2.1,1.9,2.7,27.4,Above mean
Anthony Edwards,SG,21,MIN,35,35,36.8,8.5,18.4,0.463,2.6,7.0,0.367,5.9,11.4,0.521,0.533,3.9,5.3,0.745,0.7,5.3,6.0,4.5,1.8,0.5,3.3,2.8,23.5,Above mean
Anthony Gill,PF,30,WAS,28,4,10.5,1.1,1.9,0.574,0.1,0.5,0.143,1.0,1.4,0.725,0.593,0.5,0.6,0.824,0.5,0.9,1.5,0.5,0.2,0.2,0.2,1.3,2.8,Below mean
Anthony Lamb,SF,25,GSW,28,3,18.5,2.2,4.5,0.492,1.2,3.1,0.379,1.0,1.4,0.744,0.623,0.3,0.5,0.643,0.7,2.4,3.1,1.6,0.6,0.3,1.0,2.1,5.9,
Austin Reaves,SG,24,LAL,33,10,29.1,3.5,6.8,0.516,1.3,3.3,0.382,2.2,3.4,0.646,0.61,2.6,2.8,0.904,0.7,2.3,2.9,2.1,0.6,0.4,1.3,1.6,10.8,Below mean
Austin Rivers,SG,30,MIN,25,9,19.7,1.9,4.1,0.466,0.9,2.3,0.397,1.0,1.8,0.556,0.578,0.9,1.0,0.88,0.1,1.7,1.8,1.2,0.5,0.0,0.6,1.7,5.6,Below mean
Ayo Dosunmu,PG,23,CHI,32,24,26.8,3.8,7.6,0.5,0.9,2.8,0.333,2.8,4.8,0.599,0.562,0.8,1.0,0.818,0.6,2.5,3.2,2.7,0.7,0.4,1.3,2.4,9.3,Below mean
Bam Adebayo,C,25,MIA,31,31,35.3,8.3,15.5,0.535,0.0,0.3,0.1,8.3,15.2,0.544,0.536,4.2,5.1,0.828,2.5,7.4,9.9,3.3,0.9,0.7,3.0,3.2,20.9,Above mean
Ben Simmons,PG,26,BRK,25,20,27.4,3.8,6.3,0.605,0.0,0.0,0.0,3.8,6.2,0.609,0.605,0.7,1.6,0.439,1.1,5.6,6.8,6.0,1.4,0.5,2.2,3.5,8.3,Above mean
Bennedict Mathurin,SG,20,IND,35,2,28.3,5.4,13.1,0.415,1.7,5.1,0.343,3.7,8.0,0.461,0.481,4.5,5.5,0.82,1.1,2.8,3.9,1.5,0.6,0.1,1.8,2.0,17.1,Below mean
Bismack Biyombo,C,30,PHO,30,4,13.7,1.6,2.8,0.578,0.0,0.0,,1.6,2.8,0.578,0.578,0.4,1.3,0.342,1.1,2.6,3.7,0.9,0.3,1.4,1.0,2.0,3.6,Below mean
Blake Griffin,PF,33,BOS,15,8,15.3,1.9,3.9,0.5,0.5,1.6,0.333,1.4,2.3,0.618,0.569,1.0,1.4,0.714,1.0,2.9,3.9,1.2,0.3,0.1,0.4,2.1,5.4,Below mean
Blake Wesley,SG,19,SAS,2,0,11.5,3.0,4.5,0.667,1.0,1.5,0.667,2.0,3.0,0.667,0.778,1.0,2.0,0.5,0.5,0.5,1.0,2.0,0.0,0.0,1.0,1.5,8.0,Below mean
Boban Marjanović,C,34,HOU,10,0,3.8,0.7,1.1,0.636,0.0,0.1,0.0,0.7,1.0,0.7,0.636,0.7,0.9,0.778,0.1,0.9,1.0,0.1,0.1,0.1,0.2,0.1,2.1,Below mean
Bobby Portis,PF,27,MIL,34,8,26.1,5.8,11.6,0.495,1.1,3.6,0.306,4.7,8.1,0.578,0.542,1.0,1.3,0.773,2.5,7.6,10.0,1.8,0.3,0.3,1.1,1.7,13.6,Above mean
Bogdan Bogdanović,SG,30,ATL,12,3,29.9,6.3,14.3,0.439,3.6,8.5,0.422,2.7,5.8,0.464,0.564,1.3,1.7,0.8,0.3,3.5,3.8,2.3,0.8,0.3,1.6,1.2,17.4,Above mean
Bojan Bogdanović,PF,33,DET,36,36,31.2,6.7,14.1,0.477,2.4,5.9,0.404,4.3,8.2,0.531,0.562,4.8,5.4,0.902,0.5,3.1,3.6,2.4,0.6,0.1,2.4,1.8,20.7,Above mean
Bol Bol,PF,23,ORL,36,31,26.0,4.9,8.3,0.593,0.7,1.8,0.4,4.2,6.5,0.647,0.637,1.4,1.9,0.75,1.4,5.7,7.1,0.9,0.5,1.6,1.9,1.4,12.0,Below mean
Bones Hyland,PG,22,DEN,26,1,20.8,4.4,11.3,0.389,2.3,6.1,0.386,2.0,5.2,0.393,0.493,1.8,2.2,0.842,0.3,1.8,2.2,3.4,0.6,0.3,1.7,1.8,13.0,Below mean
Bradley Beal,SG,29,WAS,23,23,34.5,8.9,16.8,0.527,1.6,4.6,0.343,7.3,12.3,0.596,0.574,4.2,4.9,0.858,0.9,2.7,3.6,5.2,1.0,0.6,2.8,1.9,23.5,Above mean
Brandon Boston Jr.,SG,21,LAC,13,0,9.5,1.8,4.7,0.377,0.6,1.4,0.444,1.2,3.3,0.349,0.443,1.2,1.5,0.789,0.2,0.8,1.0,0.7,0.2,0.0,0.4,0.7,5.3,Below mean
